"_report","_báo cáo"
"{0} units of Item {1} is picked in another Pick List.","{0} đơn vị của mặt hàng {1} được chọn trong Danh sách chọn khác."
"{0} until {1}","{0} cho đến {1}"
"{0} updated","{0} đã cập nhật"
"{0} valid serial nos for Item {1}","{0} số sê-ri hợp lệ cho Mặt hàng {1}"
"{0} values selected","{0} giá trị đã chọn"
"{0} variants created.","{0} biến thể đã được tạo."
"{0} viewed this","{0} đã xem cái này"
"{0} w","{0} tuần"
"{0} Web page views","{0} Lượt xem trang web"
"{0} weeks ago","{0} tuần trước"
"{0} will be given as discount.","{0} sẽ được giảm giá."
"{0} will be set as the {1} in subsequently scanned items","{0} sẽ được đặt thành {1} trong các mặt hàng được quét sau đó"
"{0} Workspace","{0} Không gian làm việc"
"{0} y","{0} năm"
"{0} years ago","{0} năm trước"
"{0}, complete the operation {1} before the operation {2}.","{0}, hoàn thành thao tác {1} trước thao tác {2}."
"{0}, Row {1}","{0}, Hàng {1}"
"{0}: '{1}' ({3}) will get truncated, as max characters allowed is {2}","{0}: '{1}' ({3}) sẽ bị cắt bớt vì số ký tự tối đa được phép là {2}"
"{0}: {1} does not belong to the Company: {2}","{0}: {1} không thuộc về Công ty: {2}"
"{0}: {1} does not exists","{0}: {1} không tồn tại"
"{0}: {1} is a group account.","{0}: {1} là tài khoản nhóm."
"{0}: {1} is set to state {2}","{0}: {1} được đặt thành trạng thái {2}"
"{0}: {1} must be less than {2}","{0}: {1} phải nhỏ hơn {2}"
"{0}: {1} vs {2}","{0}: {1} so với {2}"
"{0}: Cannot set Amend without Cancel","{0}: Không thể thiết lập Sửa đổi mà không Hủy"
"{0}: Cannot set Assign Amend if not Submittable","{0}: Không thể thiết lập Gán Sửa đổi nếu không thể ghi sổ"
"{0}: Cannot set Assign Submit if not Submittable","{0}: Không thể thiết lập Gán ghi sổ nếu không thể ghi sổ"
"{0}: Cannot set Cancel without Submit","{0}: Không thể thiết lập Hủy mà không ghi sổ"
"{0}: Cannot set import as {1} is not importable","{0}: Không thể thiết lập nhập vì {1} không thể nhập được"
"{0}: Cannot set Import without Create","{0}: Không thể thiết lập Nhập mà không có Tạo"
"{0}: Cannot set Submit, Cancel, Amend without Write","{0}: Không thể thiết lập ghi sổ, Hủy, Sửa đổi mà không có Ghi"
"{0}: Failed to attach new recurring document. To enable attaching document in the auto repeat notification email, enable {1} in Print Settings","{0}: Không thể đính kèm tài liệu định kỳ mới. Để bật tính năng đính kèm tài liệu trong email thông báo tự động lặp lại, hãy bật {1} trong Cài đặt In."
"{0}: Field '{1}' cannot be set as Unique as it has non-unique values","{0}: Trường '{1}' không thể được đặt là Duy nhất vì nó có các giá trị không duy nhất"
"{0}: Field {1} in row {2} cannot be hidden and mandatory without default","{0}: Trường {1} trong hàng {2} không thể ẩn và bắt buộc nếu không có mặc định"
"{0}: Field {1} of type {2} cannot be mandatory","{0}: Trường {1} loại {2} không thể là bắt buộc"
"{0}: Fieldname {1} appears multiple times in rows {2}","{0}: Tên trường {1} xuất hiện nhiều lần trong các hàng {2}"
"{0}: fieldname cannot be set to reserved keyword {1}","{0}: tên trường không thể được đặt thành từ khóa dành riêng {1}"
"{0}: Fieldtype {1} for {2} cannot be unique","{0}: Kiểu trường {1} cho {2} không thể là duy nhất"
"{0}: No basic permissions set","{0}: Không có quyền cơ bản nào được thiết lập"
"{0}: Only one rule allowed with the same Role, Level and {1}","{0}: Chỉ được phép có một quy tắc có cùng Vai trò, Cấp độ và {1}"
"{0}: Options {1} must be the same as doctype name {2} for the field {3}","{0}: Tùy chọn {1} phải giống với tên loại tài liệu {2} cho trường {3}"
"{0}: Options must be a valid DocType for field {1} in row {2}","{0}: Tùy chọn phải là DocType hợp lệ cho trường {1} trong hàng {2}"
"{0}: Options required for Link or Table type field {1} in row {2}","{0}: Các tùy chọn bắt buộc cho trường loại Liên kết hoặc Bảng {1} trong hàng {2}"
"{0}: Other permission rules may also apply","{0}: Các quy tắc cấp phép khác cũng có thể được áp dụng"
"{0}: Permission at level 0 must be set before higher levels are set","{0}: Quyền ở cấp độ 0 phải được thiết lập trước khi thiết lập các cấp độ cao hơn"
"{0}: You can increase the limit for the field if required via {1}","{0}: Bạn có thể tăng giới hạn cho trường nếu cần thông qua {1}"
"{0}:Fieldtype {1} for {2} cannot be indexed","{0}:Fieldtype {1} cho {2} không thể được lập chỉ mặt hàng"
"{0}' account is already used by {1}. Use another account.","Tài khoản của {0} đã được {1} sử dụng. Hãy sử dụng tài khoản khác."
"{0}' has been already added.","{0}' đã được thêm vào."
"{0}' is not a valid IBAN","{0}' không phải là IBAN hợp lệ"
"{0}' is not a valid URL","{0}' không phải là một URL hợp lệ"
"{0}' not allowed for type {1} in row {2}","{0}' không được phép cho loại {1} trong hàng {2}"
"{0}' should be in company currency {1}.","{0}' phải sử dụng đơn vị tiền tệ của công ty {1}."
"{0}'s {1} cannot be after {2}'s Expected End Date.","Ngày kết thúc dự kiến ​​của {0} là {1} không thể sau ngày kết thúc dự kiến ​​của {2}."
"{0}/{1} complete | Please leave this tab open until completion.","{0}/{1} hoàn tất | Vui lòng để tab này mở cho đến khi hoàn tất."
"{0}% Billed","{0}% Đã thanh toán"
"{0}% Delivered","{0}% Đã giao"
"{0}% of total invoice value will be given as discount.","{0}% tổng giá trị hóa đơn sẽ được giảm giá."
"{1} saved","{1} đã lưu"
"{count} Assets created for {item_code}","{count} Tài sản được tạo cho {item_code}"
"{count} cell copied","{count} ô đã sao chép"
"{count} cells copied","{count} ô đã sao chép"
"{count} row selected","{count} hàng đã chọn"
"{count} rows selected","{count} hàng đã chọn"
"{doctype} {name} is cancelled or closed.","{doctype} {name} đã bị hủy hoặc đóng."
"{field_label} is mandatory for sub-contracted {doctype}.","{field_label} là bắt buộc đối với {doctype} được ký hợp đồng phụ."
"{item_name}'s Sample Size ({sample_size}) cannot be greater than the Accepted Quantity ({accepted_quantity})","Kích thước Biểu mẫu ({sample_size}) của {item_name} không thể lớn hơn Số lượng được chấp nhận ({accepted_quantity})"
"{ref_doctype} {ref_name} is {status}.","{ref_doctype} {ref_name} là {status}."
"* Will be calculated in the transaction.","* Sẽ được tính trong giao dịch."
"** Failed: {0} to {1}: {2}","** Không thành công: {0} đến {1}: {2}"
"\u2190 Back to upload files","\u2190 Quay lại tải tệp lên"
"&copy; Frappe Technologies Pvt. Ltd. and contributors","&copy; Công ty TNHH Công nghệ Frappe và những người đóng góp"
"# In Stock","# Còn hàng"
"# Req'd Items","# Các mặt hàng yêu cầu"
"%  Delivered","%  Đã giao hàng"
"% Amount Billed","% Số tiền đã thanh toán"
"% Billed","% Đã thanh toán"
"% Complete Method","% Hoàn thành phương pháp"
"% Completed","% Hoàn thành"
"% Finished Item Quantity","% Số lượng sản phẩm hoàn thành"
"% Installed","% Đã cài đặt"
"% Occupied","% Chiếm lĩnh"
"% Of Grand Total","% Tổng cộng"
"% of materials billed against this Sales Order","% vật liệu được lập hóa đơn theo Đơn đặt hàng này"
"% of materials delivered against this Pick List","% vật liệu được giao theo Danh sách chọn này"
"% of materials delivered against this Sales Order","% vật liệu được giao theo Lệnh bán hàng này"
"% Ordered","% Đã đặt hàng"
"% Picked","% Đã chọn"
"% Process Loss","% Mất mát quy trình"
"% Produced","% Sản xuất"
"% Progress","% Tiến triển"
"% Raw Material Received","% Nguyên liệu thô đã nhận"
"% Raw Material Returned","% Nguyên liệu thô được trả lại"
"% Received","% Đã nhận"
"% Returned","% Đã trả lại"
"`Allow Negative rates for Items`","`Cho phép tỷ lệ âm cho các mặt hàng`"
"`as_iterator` only works with `as_list=True` or `as_dict=True`","`as_iterator` chỉ hoạt động với `as_list=True` hoặc `as_dict=True`"
"`job_id` paramater is required for deduplication.","Tham số `job_id` là bắt buộc để loại bỏ trùng lặp."
"← Back to upload files","← Quay lại tải tệp lên"
"+ Add / Remove Fields","+ Thêm / Xóa trường"
"<a href=""https://docs.frappe.io/framework/user/en/api/rest#1-token-based-authentication"" target=""_blank"">|||  Click here to learn about token-based authentication|||</a>","<a href=""https://docs.frappe.io/framework/user/en/api/rest#1-token-based-authentication"" target=""_blank"">||| Nhấp vào đây để tìm hiểu về xác thực dựa trên mã thông báo|||</a>"
"<b>{0}</b> is not a valid URL","<b>{0}</b> không phải là URL hợp lệ"
"<b>From Time</b> cannot be later than <b>To Time</b> for {0}","<b>Từ thời điểm</b> không thể muộn hơn <b>Đến thời điểm</b> cho {0}"
"<br>|||<h4>Note</h4>|||<ul>|||<li>|||You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.|||</li><li>|||    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.|||</li></ul>|||<h4> Examples</h4>|||<!-- {% raw %} -->|||<ul>|||    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.customer_name }}</code></pre><br></li>|||    <li><b>Body</b>: <br><br>|||<pre><code>Hello {{ customer.customer_name }}, <br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>|||</ul>|||<!-- {% endraw %} -->","<br>|||<h4>Lưu ý</h4>|||<ul>|||<li>|||Bạn có thể sử dụng <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">thẻ Jinja</a> trong các trường <b>Chủ đề</b> và <b>Nội dung</b> cho các giá trị động.|||</li><li>||| Tất cả các trường trong loại tài liệu này đều có sẵn trong đối tượng <b>doc</b> và tất cả các trường dành cho khách hàng mà thư sẽ được ghi sổ đến đều có sẵn trong đối tượng <b>khách hàng</b>.|||</li></ul>|||<h4> Ví dụ</h4>|||<!-- {% raw %} -->|||<ul>||| <li><b>Chủ đề</b>:<br><br><pre><code>Báo cáo tài khoản cho {{ customer.customer_name }}</code></pre><br></li>||| <li><b>Nội dung</b>: <br><br>|||<pre><code>Xin chào {{ customer.customer_name }}, <br>PFA Báo cáo tài khoản của bạn từ {{ doc.from_date }} đến {{ doc.to_date }}.</code> </pre></li>|||</ul>|||<!-- {% endraw %} -->"
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""alert"">Vui lòng không cập nhật vì nó có thể làm hỏng biểu Biểu mẫu của bạn. Hãy sử dụng Tùy chỉnh Chế độ xem Biểu Biểu mẫu và Trường Tùy chỉnh để thiết lập thuộc tính!</div>"
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">Chi tiết khác</div>"
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">Không tìm thấy giao dịch ngân hàng nào khớp</div>"
"<div class=""well"">|||    Edit list of Series in the box. Rules:|||    <ul>|||        <li>Each Series Prefix on a new line.</li>|||        <li>Allowed special characters are ""/"" and ""-""</li>|||        <li>|||            Optionally, set the number of digits in the series using dot (.)|||            followed by hashes (#). For example, .#### means that the series|||            will have four digits. Default is five digits.|||        </li>|||        <li>|||            You can also use variables in the series name by putting them|||            between (.) dots|||            <br>|||            Supported Variables:|||            <ul>|||                <li><code>.YYYY.</code> - Year in 4 digits</li>|||                <li><code>.YY.</code> - Year in 2 digits</li>|||                <li><code>.MM.</code> - Month</li>|||                <li><code>.DD.</code> - Day of month</li>|||                <li><code>.WW.</code> - Week of the year</li>|||                <li>|||                    <code>.{fieldname}.</code> - fieldname on the document e.g.|||                    <code>branch</code>|||                </li>|||                <li><code>.FY.</code> - Fiscal Year (requires ERPNext to be installed)</li>|||                <li><code>.ABBR.</code> - Company Abbreviation (requires ERPNext to be installed)</li>|||            </ul>|||        </li>|||    </ul>|||    Examples:|||    <ul>|||        <li>INV-</li>|||        <li>INV-10-</li>|||        <li>INVK-</li>|||        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>|||    </ul>|||</div>|||<br>|||","<div class=""well"">||| Chỉnh sửa danh sách Sê-ri trong hộp. Quy tắc: ||| <ul>||| <li>Mỗi Tiền tố Sê-ri trên một dòng mới.</li>||| <li>Các ký tự đặc biệt được phép là ""/"" và ""-""</li>||| <li>||| Tùy chọn, hãy đặt số chữ số trong sê-ri bằng dấu chấm (.)||| theo sau là dấu thăng (#). Ví dụ: .#### nghĩa là sê-ri||| sẽ có bốn chữ số. Mặc định là năm chữ số.||| </li>||| <li>||| Bạn cũng có thể sử dụng các biến trong tên sê-ri bằng cách đặt chúng||| giữa dấu chấm (.)||| <br>||| Các biến được hỗ trợ: ||| <ul>||| <li><code>.YYYY.</code> - Năm gồm 4 chữ số</li>||| <li><code>.YY.</code> - Năm gồm 2 chữ số</li>||| <li><code>.MM.</code> - Tháng</li>||| <li><code>.DD.</code> - Ngày trong tháng</li>||| <li><code>.WW.</code> - Tuần trong năm</li>||| <li>||| <code>.{fieldname}.</code> - tên trường trên tài liệu, ví dụ: ||| <code>chi nhánh</code>||| </li>||| <li><code>.FY.</code> - Năm tài chính (yêu cầu cài đặt ERPNext)</li>||| <li><code>.ABBR.</code> - Viết tắt của công ty (yêu cầu cài đặt ERPNext)</li>||| </ul>||| </li>||| </ul>||| Ví dụ: ||| <ul>||| <li>INV-</li>||| <li>INV-10-</li>||| <li>INVK-</li>|||        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>|||    </ul>|||</div>|||<br>|||"
